"object_id","volume","region_name","lga"
2586,2400,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
2587,9800,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
2588,13000,"NORTHERN REGION","MACEDON RANGES"
2589,16000,"NORTHERN REGION","MACEDON RANGES"
2590,18000,"METROPOLITAN NORTH WEST REGION","HUME"
2591,43000,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
2592,45000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2593,3600,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2594,2500,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2595,3700,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2596,6100,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2597,5200,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2598,16000,"METROPOLITAN NORTH WEST REGION","DAREBIN"
2599,7100,"METROPOLITAN NORTH WEST REGION","YARRA"
2600,14000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2601,6600,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2602,3100,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2603,9,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2604,8000,"EASTERN REGION","BAW BAW"
2605,2000,"WESTERN REGION","HINDMARSH"
2606,7500,"NORTHERN REGION","MITCHELL"
2607,2000,"NORTHERN REGION","MITCHELL"
2608,1700,"METROPOLITAN SOUTH EAST REGION","FRANKSTON"
2609,5000,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2610,8400,"METROPOLITAN SOUTH EAST REGION","CASEY"
2611,5400,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2612,3900,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2613,4000,"METROPOLITAN SOUTH EAST REGION","FRANKSTON"
2614,15000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2615,19000,"METROPOLITAN SOUTH EAST REGION","CASEY"
2616,16000,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2617,14000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2618,11000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2619,7600,"METROPOLITAN NORTH WEST REGION","HUME"
2620,5300,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
2621,2300,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2622,17000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2623,12000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2624,2500,"SOUTH WESTERN REGION","GEELONG"
2625,7100,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2626,19000,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2627,13000,"METROPOLITAN SOUTH EAST REGION","BAYSIDE"
2628,2900,"SOUTH WESTERN REGION","GEELONG"
2629,236,"NORTHERN REGION","LODDON"
2630,44000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2631,31000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2632,31000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2633,22000,"METROPOLITAN SOUTH EAST REGION","MONASH"
2634,17000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
2635,17000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
2636,12000,"METROPOLITAN SOUTH EAST REGION","MAROONDAH"
2637,13000,"METROPOLITAN SOUTH EAST REGION","KNOX"
2638,4200,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2639,1200,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2640,3900,"EASTERN REGION","BAW BAW"
2641,10000,"METROPOLITAN SOUTH EAST REGION","GLEN EIRA"
2642,11000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2643,11000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2644,15000,"METROPOLITAN NORTH WEST REGION","WHITTLESEA"
2645,7400,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2646,1500,"EASTERN REGION","WELLINGTON"
2647,131,"EASTERN REGION","SOUTH GIPPSLAND"
2648,6900,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2649,1300,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2650,4400,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2651,13000,"EASTERN REGION","BAW BAW"
2652,16000,"EASTERN REGION","BAW BAW"
2653,13000,"EASTERN REGION","LATROBE"
2654,15000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2655,4300,"METROPOLITAN SOUTH EAST REGION","WHITEHORSE"
2656,12000,"METROPOLITAN SOUTH EAST REGION","CASEY"
2657,590,"SOUTH WESTERN REGION","COLAC OTWAY"
2658,4800,"EASTERN REGION","LATROBE"
2659,1400,"EASTERN REGION","LATROBE"
2660,4200,"EASTERN REGION","LATROBE"
2661,466,"NORTHERN REGION","MACEDON RANGES"
2662,765,"WESTERN REGION","CENTRAL GOLDFIELDS"
2663,2400,"NORTH EASTERN REGION","MOIRA"
2664,1600,"NORTHERN REGION","MACEDON RANGES"
2665,6000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2666,7300,"METROPOLITAN NORTH WEST REGION","YARRA"
2667,8700,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2668,2300,"NORTHERN REGION","MACEDON RANGES"
2669,11000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2670,14000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2671,16000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2672,27000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2673,32000,"METROPOLITAN NORTH WEST REGION","YARRA"
2674,13000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
2675,20000,"METROPOLITAN SOUTH EAST REGION","KNOX"
2676,15000,"METROPOLITAN SOUTH EAST REGION","FRANKSTON"
2677,4400,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2678,9100,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2679,24000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2680,779,"SOUTH WESTERN REGION","GLENELG"
2681,74,"WESTERN REGION","YARRIAMBIACK"
2682,181,"WESTERN REGION","HEPBURN"
2683,4700,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
2684,9800,"NORTH EASTERN REGION","WODONGA"
2685,3700,"WESTERN REGION","BALLARAT"
2686,740,"WESTERN REGION","HEPBURN"
2687,14000,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
2688,2000,"NORTHERN REGION","MACEDON RANGES"
2689,72000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2690,88000,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2691,380,"METROPOLITAN SOUTH EAST REGION","MORNINGTON PENINSULA"
2692,4500,"METROPOLITAN NORTH WEST REGION","DAREBIN"
2693,15000,"METROPOLITAN NORTH WEST REGION","WHITTLESEA"
2694,12000,"METROPOLITAN NORTH WEST REGION","BANYULE"
2695,1700,"EASTERN REGION","WELLINGTON"
